make_model,location,price,body_type,type,warranty,mileage,gearbox,fuel_type,colour,paint,seller,gears,drivetrain,entertainment_media,extras,full_service_history,nonsmoker_vehicle,upholstery,power_hp,safety_category,emission_category
Peugeot 308,ES,14900.0, Compact, Used,No,38929.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,110.0,low,high
Peugeot 307,ES,3690.0, Compact, Used,No,256000.0,Manual,diesel,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,90.0,low,mid-low
Peugeot 208,FR,19190.0, Compact, Used,No,13017.0,Manual,benzine,Gold,Metallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,101.0,low,high
Peugeot 208,NL,11790.0, Compact, Used,Yes,126716.0,Automatic,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,82.0,middle,high
Peugeot 108,DE,13900.0, Compact, Used,No,6700.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,4.0,Yes,Yes,Cloth,72.0,middle,high
Peugeot 208,FR,12290.0, Compact, Used,No,41591.0,Manual,benzine,Silver,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,82.0,low,high
Peugeot 107,NL,3995.0, Compact, Used,Yes,84638.0,Manual,benzine,Blue,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,68.0,low,mid-low
Peugeot 308,ES,12490.0, Compact, Used,Yes,60000.0,Manual,benzine,Blue,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,110.0,low,high
Peugeot 108,NL,6450.0, Compact, Used,No,62797.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,69.0,low,high
Peugeot 208,NL,28450.0, Compact, Used,No,3894.0,Manual,benzine,White,Metallic,Dealer,5.0, Front,Standard,4.0,Yes,No,Cloth,101.0,middle,high
Peugeot 208,FR,12990.0, Compact, Used,No,11802.0,Manual,diesel,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,75.0,low,high
Peugeot 208,NL,10750.0, Compact, Used,Yes,48945.0,Manual,diesel,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,75.0,middle,high
Peugeot 108,FR,10899.0, Compact, Used,No,6539.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 208,NL,11950.0, Compact, Used,No,43478.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,2.0,Yes,No,Cloth,82.0,middle,high
Peugeot 208,NL,16450.0, Compact, Used,No,11568.0,Automatic,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,111.0,middle,high
Peugeot 208,ES,19990.0, Compact, Used,Yes,21765.0,Automatic,benzine,White,Nonmetallic,Dealer,8.0, Front,Standard,1.0,No,No,Cloth,131.0,low,high
Peugeot 108,NL,6950.0, Compact, Used,Yes,90092.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,69.0,middle,high
Peugeot 108,FR,15099.0, Compact, Used,No,3000.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,3.0,No,No,Cloth,72.0,middle,high
Peugeot 208,FR,10490.0, Compact, Used,No,59592.0,Manual,diesel,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,75.0,low,high
Peugeot 208,FR,12990.0, Compact, Used,No,3740.0,Manual,benzine,White,Metallic,Dealer,5.0, Front,Mid-range,1.0,No,No,Other,68.0,low,high
Peugeot 1007,DE,3590.0, Compact, Used,No,122500.0,Manual,benzine,Blue,Metallic,Dealer,5.0, Front,Standard,5.0,No,Yes,Cloth,88.0,low,mid-low
Peugeot 308,ES,11990.0, Compact, Used,Yes,70000.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,110.0,low,high
Peugeot 208,NL,13900.0, Compact, Used,No,52944.0,Manual,benzine,White,Metallic,Dealer,5.0, Front,Standard,3.0,Yes,No,Leather,111.0,middle,high
Peugeot 108,ES,8000.0, Compact, Used,Yes,65300.0,Manual,benzine,Blue,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,82.0,low,high
Peugeot 308,FR,17999.0, Compact, Used,Yes,80489.0,Automatic,diesel,Grey,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,132.0,low,high
Peugeot 208,NL,7450.0, Compact, Used,Yes,126575.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,2.0,Yes,No,Cloth,82.0,low,mid
Peugeot 207,NL,4450.0, Compact, Used,No,138355.0,Manual,benzine,Blue,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,88.0,low,mid-low
Peugeot 208,FR,12499.0, Compact, Used,Yes,69855.0,Manual,diesel,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,103.0,low,high
Peugeot 208,NL,7790.0, Compact, Used,No,79270.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,No,Yes,Cloth,82.0,low,mid
Peugeot 208,IT,18900.0, Compact, Pre-registered,No,1.0,Manual,benzine,Yellow,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,75.0,low,high
Peugeot 208,FR,10990.0, Compact, Used,No,35074.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,82.0,low,high
Peugeot 207,NL,4940.0, Compact, Used,No,148483.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,120.0,low,mid-low
Peugeot 107,NL,4950.0, Compact, Used,No,139993.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,68.0,low,mid
Peugeot 208,FR,9690.0, Compact, Used,No,81775.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,68.0,low,high
Peugeot 107,NL,2999.0, Compact, Used,No,92298.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,68.0,low,mid-low
Peugeot 208,NL,9400.0, Compact, Used,No,132377.0,Semi-automatic,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,82.0,low,mid
Peugeot 208,NL,10450.0, Compact, Used,Yes,49054.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,82.0,middle,high
Peugeot 108,NL,13500.0, Compact, Demonstration,No,17457.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 208,FR,16990.0, Compact, Used,No,13622.0,Manual,benzine,White,Nonmetallic,Dealer,6.0, Front,Standard,2.0,No,No,Other,101.0,low,high
Peugeot 108,NL,7750.0, Compact, Used,No,99985.0,Manual,benzine,Blue,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,69.0,middle,mid
Peugeot 208,DE,8950.0, Compact, Used,Yes,59520.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,4.0,Yes,No,Cloth,82.0,middle,high
Peugeot 208,NL,6940.0, Compact, Used,No,117327.0,Manual,benzine,Blue,Nonmetallic,Dealer,5.0, Front,Standard,3.0,Yes,No,Leather,82.0,low,mid
Peugeot 107,NL,3250.0, Compact, Used,Yes,168562.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,68.0,low,mid-low
Peugeot 208,FR,17499.0, Compact, Used,No,37806.0,Manual,diesel,Red,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,103.0,low,high
Peugeot 108,NL,7990.0, Compact, Used,Yes,75609.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,69.0,middle,high
Peugeot 208,ES,29995.0, Compact, Pre-registered,Yes,100.0,Automatic,electric,Blue,Nonmetallic,Dealer,1.0, Front,Standard,1.0,No,No,Cloth,136.0,low,high
Peugeot 107,NL,6350.0, Compact, Used,Yes,76795.0,Semi-automatic,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,68.0,middle,mid
Peugeot 208,NL,20900.0, Compact, Pre-registered,Yes,1232.0,Manual,benzine,Yellow,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,75.0,middle,high
Peugeot 208,FR,15799.0, Compact, Used,Yes,46617.0,Manual,diesel,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,103.0,low,high
Peugeot 208,DE,18200.0, Compact, Used,No,27888.0,Manual,benzine,Silver,Metallic,Dealer,6.0, Front,Standard,4.0,Yes,Yes,Cloth,101.0,middle,high
Peugeot 108,NL,7745.0, Compact, Used,No,95200.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,68.0,middle,high
Peugeot 108,DE,12990.0, Compact, Used,Yes,10250.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,7.0,Yes,No,Cloth,72.0,middle,high
Peugeot 108,DE,13750.0, Compact, Used,No,2095.0,Manual,benzine,Blue,Metallic,Dealer,5.0, Front,Standard,5.0,Yes,Yes,Cloth,72.0,middle,high
Peugeot 107,NL,2995.0, Compact, Used,No,111100.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,68.0,low,mid-low
Peugeot 108,FR,10799.0, Compact, Used,No,29349.0,Manual,benzine,Red,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 108,NL,8790.0, Compact, Used,Yes,70022.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 107,NL,4750.0, Compact, Used,No,137639.0,Manual,benzine,White,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,68.0,low,mid
Peugeot 208,FR,11890.0, Compact, Used,No,14987.0,Manual,benzine,White,Metallic,Dealer,5.0, Front,Mid-range,1.0,No,No,Other,68.0,low,high
Peugeot 208,IT,18500.0, Compact, Used,No,23275.0,Manual,benzine,Grey,Nonmetallic,Dealer,6.0, Front,Standard,4.0,No,No,Cloth,101.0,middle,high
Peugeot 108,FR,10999.0, Compact, Used,No,29358.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 208,NL,11850.0, Compact, Used,Yes,51851.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,4.0,Yes,No,Cloth,83.0,middle,high
Peugeot 307,NL,3250.0, Compact, Used,No,143096.0,Automatic,benzine,Red,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,109.0,low,low
Peugeot 208,FR,9499.0, Compact, Used,Yes,102549.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,69.0,low,high
Peugeot 208,FR,20999.0, Compact, Used,Yes,1110.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Mid-range,1.0,No,No,Cloth,103.0,low,high
Peugeot 208,ES,30495.0, Compact, Used,Yes,18975.0,Automatic,electric,Red,Nonmetallic,Dealer,1.0, Front,Standard,1.0,No,No,Cloth,136.0,low,high
Peugeot 208,ES,9490.0, Compact, Used,Yes,68983.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,82.0,low,high
Peugeot 308,FR,17999.0, Compact, Used,Yes,40601.0,Manual,diesel,Grey,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,103.0,low,high
Peugeot 108,NL,12700.0, Compact, Used,Yes,27917.0,Manual,benzine,Silver,Metallic,Dealer,5.0, Front,Standard,1.0,No,Yes,Cloth,73.0,middle,high
Peugeot 208,IT,17812.0, Compact, Used,No,25810.0,Manual,benzine,Yellow,Metallic,Dealer,6.0, Front,Standard,4.0,No,Yes,Leather,101.0,middle,high
Peugeot 107,NL,4250.0, Compact, Used,Yes,94730.0,Automatic,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,68.0,low,mid-low
Peugeot 208,NL,11425.0, Compact, Used,Yes,52141.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,82.0,low,high
Peugeot 208,ES,21990.0, Compact, Used,Yes,7384.0,Automatic,benzine,White,Nonmetallic,Dealer,8.0, Front,Standard,1.0,No,No,Cloth,131.0,low,high
Peugeot 208,FR,20499.0, Compact, Used,Yes,14847.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Mid-range,1.0,No,No,Cloth,103.0,low,high
Peugeot 308,FR,18499.0, Compact, Used,Yes,56133.0,Manual,diesel,Grey,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,132.0,low,high
Peugeot 208,FR,18999.0, Compact, Used,No,58419.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Mid-range,1.0,No,No,Cloth,103.0,low,high
Peugeot 208,FR,20499.0, Compact, Used,Yes,13035.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Mid-range,1.0,No,No,Cloth,103.0,low,high
Peugeot 107,FR,6490.0, Compact, Used,No,37981.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,68.0,low,mid-low
Peugeot Rifter,FR,27499.0, Compact, Used,Yes,38574.0,Manual,benzine,Grey,Nonmetallic,Dealer,6.0, Front,Standard,3.0,No,No,Cloth,111.0,middle,high
Peugeot 208,ES,6950.0, Compact, Used,No,119000.0,Manual,benzine,Violet,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,68.0,low,high
Peugeot 108,FR,11480.0, Compact, Used,Yes,43731.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,83.0,low,high
Peugeot 208,FR,12190.0, Compact, Used,No,31103.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Other,68.0,low,high
Peugeot 107,NL,7990.0, Compact, Used,Yes,67505.0,Automatic,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,3.0,Yes,No,Cloth,68.0,middle,mid
Peugeot 108,NL,11925.0, Compact, Used,Yes,65559.0,Automatic,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,72.0,middle,high
Peugeot 108,FR,8499.0, Compact, Used,No,52118.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,83.0,middle,high
Peugeot 308,FR,18499.0, Compact, Used,Yes,52537.0,Automatic,benzine,Black,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,132.0,low,high
Peugeot 108,IT,8490.0, Compact, Used,Yes,36025.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,69.0,low,high
Peugeot 308,FR,17999.0, Compact, Used,Yes,30330.0,Manual,benzine,Grey,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,132.0,low,high
Peugeot 108,DE,12900.0, Compact, Used,No,14395.0,Manual,benzine,Silver,Metallic,Dealer,5.0, Front,Standard,5.0,Yes,Yes,Cloth,72.0,middle,high
Peugeot 308,IT,9750.0, Compact, Used,Yes,112446.0,Manual,diesel,Grey,Metallic,Dealer,6.0, Front,Standard,1.0,Yes,No,Cloth,116.0,low,high
Peugeot 208,FR,17999.0, Compact, Used,Yes,41580.0,Manual,diesel,Grey,Nonmetallic,Dealer,5.0, Front,Mid-range,1.0,No,No,Cloth,103.0,low,high
Peugeot 208,FR,18999.0, Compact, Used,Yes,14839.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,103.0,low,high
Peugeot 208,NL,10190.0, Compact, Used,Yes,80169.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,82.0,middle,high
Peugeot 208,NL,10550.0, Compact, Used,Yes,48808.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,82.0,middle,high
Peugeot 208,NL,11550.0, Compact, Used,Yes,69168.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,82.0,middle,high
Peugeot 208,FR,15499.0, Compact, Used,No,16093.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,76.0,low,high
Peugeot 208,FR,24999.0, Compact, Used,Yes,20651.0,Automatic,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,2.0,No,No,Cloth,132.0,middle,high
Peugeot 108,NL,9190.0, Compact, Used,Yes,77268.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,68.0,middle,high
Peugeot 1007,IT,3600.0, Compact, Used,Yes,128900.0,Manual,benzine,Silver,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,73.0,low,mid-low
Peugeot 308,FR,18499.0, Compact, Used,Yes,29763.0,Manual,benzine,Grey,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,132.0,low,high
Peugeot 108,NL,9980.0, Compact, Used,No,48932.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 107,NL,6150.0, Compact, Used,Yes,63263.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,68.0,middle,mid
Peugeot 208,FR,13299.0, Compact, Used,No,58745.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,2.0,No,No,Cloth,111.0,middle,high
Peugeot 208,FR,11799.0, Compact, Used,No,55608.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,83.0,low,high
Peugeot 108,NL,11890.0, Compact, Used,Yes,25917.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 308,FR,18499.0, Compact, Used,Yes,44610.0,Manual,diesel,Blue,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,132.0,low,high
Peugeot 108,FR,10990.0, Compact, Used,No,43629.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 208,FR,19499.0, Compact, Used,Yes,29148.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,2.0,No,No,Cloth,103.0,low,high
Peugeot 108,NL,15200.0, Compact, Used,Yes,46001.0,Automatic,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Cloth,72.0,middle,high
Peugeot 107,IT,6500.0, Compact, Used,Yes,87000.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,No,Yes,Cloth,68.0,low,mid
Peugeot iOn,ES,9990.0, Compact, Used,Yes,47802.0,Automatic,electric,White,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,67.0,low,high
Peugeot 108,NL,11690.0, Compact, Used,Yes,22997.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Cloth,72.0,middle,high
Peugeot 207,ES,8900.0, Convertible, Used,Yes,53094.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,120.0,low,mid-low
Peugeot 308,BE,9990.0, Convertible, Used,Yes,54296.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,Yes,Leather,120.0,low,mid
Peugeot 308,DE,9890.0, Convertible, Used,No,83214.0,Manual,benzine,Grey,Metallic,Dealer,6.0, Front,Standard,3.0,No,No,Cloth,156.0,middle,mid
Peugeot 207,DE,10499.0, Convertible, Used,No,42650.0,Manual,benzine,White,Metallic,Dealer,5.0, Front,Standard,7.0,Yes,Yes,Cloth,120.0,low,mid
Peugeot 207,ES,10500.0, Convertible, Used,Yes,46342.0,Manual,diesel,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,111.0,low,mid-low
Peugeot 207,DE,7940.0, Convertible, Used,Yes,88505.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,3.0,No,No,Leather,120.0,middle,mid
Peugeot 206,ES,2990.0, Convertible, Used,Yes,119000.0,Manual,benzine,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,137.0,low,low
Peugeot 308,DE,12980.0, Convertible, Used,Yes,91000.0,Automatic,benzine,Brown,Metallic,Dealer,6.0, Front,Standard,3.0,No,Yes,Cloth,156.0,low,mid
Peugeot 308,DE,16999.0, Convertible, Used,Yes,92037.0,Automatic,diesel,White,Metallic,Dealer,6.0, Front,Standard,10.0,Yes,Yes,Leather,163.0,middle,mid
Peugeot 307,ES,4995.0, Convertible, Used,No,145000.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,109.0,low,mid-low
Peugeot 207,DE,6990.0, Convertible, Used,No,107000.0,Manual,benzine,White,Nonmetallic,Dealer,6.0, Front,Standard,6.0,Yes,Yes,Leather,156.0,middle,mid
Peugeot 308,ES,8500.0, Convertible, Used,No,119555.0,Automatic,benzine,Grey,Nonmetallic,Dealer,6.0, Front,Standard,1.0,No,No,Cloth,140.0,low,high
Peugeot 207,DE,10980.0, Convertible, Used,No,62325.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,Yes,Leather,120.0,low,mid
Peugeot 207,DE,8499.0, Convertible, Used,No,50000.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,3.0,Yes,Yes,Cloth,120.0,low,mid
Peugeot 308,DE,11990.0, Convertible, Used,Yes,79152.0,Manual,benzine,Grey,Nonmetallic,Dealer,6.0, Front,Standard,2.0,Yes,Yes,Cloth,120.0,low,mid
Peugeot 207,DE,12490.0, Convertible, Used,Yes,68779.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,3.0,No,No,Leather,120.0,middle,mid
Peugeot 207,DE,8990.0, Convertible, Used,Yes,117000.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,2.0,Yes,Yes,Leather,120.0,low,mid
Peugeot 207,ES,5500.0, Convertible, Used,No,146000.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,120.0,low,mid-low
Peugeot 108,DE,10770.0, Convertible, Used,No,26401.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,3.0,Yes,Yes,Cloth,82.0,middle,high
Peugeot 206,DE,4850.0, Convertible, Used,Yes,119158.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,3.0,No,Yes,Leather,109.0,low,low
Peugeot 206,DE,2750.0, Convertible, Used,No,125700.0,Automatic,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,6.0,Yes,Yes,Leather,109.0,low,low
Peugeot 108,DE,12990.0, Convertible, Used,Yes,12499.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,5.0,Yes,Yes,Cloth,72.0,middle,high
Peugeot 307,DE,1650.0, Convertible, Used,No,119000.0,Manual,benzine,Black,Nonmetallic,Dealer,5.0, Front,Standard,4.0,No,Yes,Leather,136.0,middle,mid-low
Peugeot 207,FR,10980.0, Convertible, Used,Yes,35900.0,Manual,diesel,Black,Metallic,Dealer,5.0, Front,Standard,1.0,Yes,Yes,Leather,109.0,low,mid-low
Peugeot 206,NL,2500.0, Convertible, Used,No,150800.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,109.0,low,low
Peugeot 308,NL,16450.0, Convertible, Used,Yes,90152.0,Manual,benzine,White,Metallic,Dealer,6.0, Front,Standard,3.0,Yes,No,Leather,156.0,middle,mid
Peugeot 207,NL,2945.0, Convertible, Used,Yes,188790.0,Manual,benzine,Green,Metallic,Dealer,5.0, Front,Standard,2.0,Yes,No,Cloth,120.0,low,mid-low
Peugeot 207,DE,4400.0, Convertible, Used,Yes,190000.0,Manual,benzine,White,Nonmetallic,Dealer,5.0, Front,Standard,2.0,No,No,Leather,120.0,low,mid
Peugeot 308,IT,12000.0, Convertible, Used,No,121694.0,Manual,diesel,White,Metallic,Private seller,6.0, Front,Standard,5.0,Yes,Yes,Alcantara,111.0,low,mid
Peugeot 205,BE,6500.0, Convertible, Used,No,199397.0,Manual,benzine,Green,Metallic,Dealer,5.0, Front,Standard,3.0,No,No,Leather,1.0,low,low
Peugeot 207,DE,4999.0, Convertible, Used,No,169998.0,Manual,benzine,Grey,Metallic,Dealer,6.0, Front,Standard,3.0,No,Yes,Leather,156.0,middle,mid
Peugeot 308,FR,10750.0, Convertible, Used,Yes,82000.0,Manual,diesel,Grey,Metallic,Dealer,6.0, Front,Standard,3.0,Yes,Yes,Leather,136.0,middle,mid
Peugeot 308,DE,11700.0, Convertible, Used,No,61430.0,Manual,lpg/cng,Silver,Metallic,Private seller,5.0, Front,Standard,3.0,No,Yes,Cloth,120.0,middle,mid
Peugeot 207,NL,2950.0, Convertible, Used,No,318441.0,Manual,diesel,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,Yes,No,Leather,109.0,low,mid-low
Peugeot 206,NL,1795.0, Convertible, Used,No,186088.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,136.0,low,low
Peugeot 207,FR,5490.0, Convertible, Used,No,141000.0,Manual,diesel,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,109.0,low,mid-low
Peugeot 207,DE,6800.0, Convertible, Used,No,105840.0,Manual,benzine,White,Nonmetallic,Private seller,6.0, Front,Standard,13.0,Yes,Yes,Leather,156.0,low,mid
Peugeot 206,NL,1950.0, Convertible, Used,No,200158.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,2.0,Yes,No,Cloth,109.0,low,low
Peugeot 207,NL,4750.0, Convertible, Used,No,91735.0,Manual,benzine,Black,Nonmetallic,Private seller,5.0, Front,Standard,1.0,No,Yes,Leather,120.0,low,mid-low
Peugeot 308,DE,13990.0, Convertible, Used,Yes,79603.0,Manual,diesel,Grey,Metallic,Dealer,6.0, Front,Standard,6.0,Yes,Yes,Cloth,163.0,middle,mid
Peugeot 308,NL,6995.0, Convertible, Used,No,196288.0,Manual,benzine,Red,Metallic,Dealer,6.0, Front,Standard,3.0,No,No,Leather,156.0,middle,mid
Peugeot 207,DE,4900.0, Convertible, Used,Yes,106750.0,Manual,benzine,Black,Metallic,Dealer,5.0, Front,Standard,5.0,No,No,Cloth,120.0,low,mid-low
Peugeot 206,FR,3100.0, Convertible, Used,No,177148.0,Manual,diesel,Grey,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,No,Leather,110.0,low,low
Peugeot 206,NL,2750.0, Convertible, Used,No,176429.0,Automatic,benzine,Blue,Nonmetallic,Dealer,5.0, Front,Standard,1.0,No,Yes,Leather,109.0,low,low
Peugeot 206,NL,1995.0, Convertible, Used,No,204278.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,2.0,Yes,No,Leather,109.0,low,mid-low
Peugeot 207,NL,3999.0, Convertible, Used,No,142924.0,Manual,benzine,Grey,Metallic,Dealer,5.0, Front,Standard,4.0,Yes,No,Other,120.0,low,mid-low
